# Día       	# Fase	# Símbolo	# Nombre
2022-05-08	 6.567	🌒	Luna creciente
2022-05-09	 7.422	🌓	Cuarto creciente
2022-05-10	 8.356	🌔	Luna creciente gibosa
2022-05-11	 9.289	🌔	Luna creciente gibosa
2022-05-12	10.222	🌔	Luna creciente gibosa
2022-05-13	11.233	🌔	Luna creciente gibosa
2022-05-14	12.245	🌔	Luna creciente gibosa
2022-05-15	13.256	🌔	Luna creciente gibosa
2022-05-16	14.345	🌕	Luna llena
2022-05-17	15.433	🌖	Luna menguante gibosa
2022-05-18	16.522	🌖	Luna menguante gibosa
2022-05-19	17.533	🌖	Luna menguante gibosa
2022-05-20	18.622	🌖	Luna menguante gibosa
2022-05-21	19.711	🌖	Luna menguante gibosa
2022-05-22	20.722	🌖	Luna menguante gibosa
2022-05-23	21.733	🌗	Cuarto menguante
2022-05-24	22.667	🌘	Luna menguante
2022-05-25	23.600	🌘	Luna menguante
2022-05-26	24.533	🌘	Luna menguante
2022-05-27	25.467	🌘	Luna menguante
2022-05-28	26.322	🌘	Luna menguante
2022-05-29	27.256	🌘	Luna menguante
2022-05-30	 0.111	🌑	Luna nueva
2022-05-31	 0.967	🌒	Luna creciente
2022-06-01	 1.822	🌒	Luna creciente
2022-06-02	 2.678	🌒	Luna creciente
2022-06-03	 3.456	🌒	Luna creciente
2022-06-04	 4.311	🌒	Luna creciente
2022-06-05	 5.167	🌒	Luna creciente
2022-06-06	 6.022	🌒	Luna creciente
2022-06-07	 6.878	🌒	Luna creciente
2022-06-08	 7.811	🌓	Cuarto creciente
2022-06-09	 8.745	🌔	Luna creciente gibosa
2022-06-10	 9.756	🌔	Luna creciente gibosa
2022-06-11	10.767	🌔	Luna creciente gibosa
2022-06-12	11.778	🌔	Luna creciente gibosa
2022-06-13	12.867	🌔	Luna creciente gibosa
2022-06-14	13.956	🌔	Luna creciente gibosa
2022-06-15	15.045	🌖	Luna menguante gibosa
2022-06-16	16.211	🌖	Luna menguante gibosa
2022-06-17	17.300	🌖	Luna menguante gibosa
2022-06-18	18.311	🌖	Luna menguante gibosa
2022-06-19	19.400	🌖	Luna menguante gibosa
2022-06-20	20.411	🌖	Luna menguante gibosa
2022-06-21	21.345	🌗	Cuarto menguante
2022-06-22	22.278	🌘	Luna menguante
2022-06-23	23.211	🌘	Luna menguante
2022-06-24	24.145	🌘	Luna menguante
2022-06-25	25.000	🌘	Luna menguante
2022-06-26	25.856	🌘	Luna menguante
2022-06-27	26.711	🌘	Luna menguante
2022-06-28	27.567	🌘	Luna menguante
2022-06-29	 0.422	🌑	Luna nueva
2022-06-30	 1.278	🌒	Luna creciente
2022-07-01	 2.056	🌒	Luna creciente
2022-07-02	 2.911	🌒	Luna creciente
2022-07-03	 3.767	🌒	Luna creciente
2022-07-04	 4.700	🌒	Luna creciente
2022-07-05	 5.556	🌒	Luna creciente
2022-07-06	 6.489	🌒	Luna creciente
2022-07-07	 7.422	🌓	Cuarto creciente
2022-07-08	 8.356	🌔	Luna creciente gibosa
2022-07-09	 9.367	🌔	Luna creciente gibosa
2022-07-10	10.378	🌔	Luna creciente gibosa
2022-07-11	11.467	🌔	Luna creciente gibosa
2022-07-12	12.556	🌔	Luna creciente gibosa
2022-07-13	13.645	🌔	Luna creciente gibosa
2022-07-14	14.733	🌕	Luna llena
2022-07-15	15.822	🌖	Luna menguante gibosa
2022-07-16	16.911	🌖	Luna menguante gibosa
2022-07-17	18.000	🌖	Luna menguante gibosa
2022-07-18	19.011	🌖	Luna menguante gibosa
2022-07-19	20.022	🌖	Luna menguante gibosa
2022-07-20	20.956	🌖	Luna menguante gibosa
2022-07-21	21.889	🌗	Cuarto menguante
2022-07-22	22.745	🌘	Luna menguante
2022-07-23	23.678	🌘	Luna menguante
2022-07-24	24.533	🌘	Luna menguante
2022-07-25	25.311	🌘	Luna menguante
2022-07-26	26.167	🌘	Luna menguante
2022-07-27	27.022	🌘	Luna menguante
2022-07-28	27.878	🌘	Luna menguante
2022-07-29	 0.733	🌑	Luna nueva
2022-07-30	 1.589	🌒	Luna creciente
2022-07-31	 2.445	🌒	Luna creciente
2022-08-01	 3.378	🌒	Luna creciente
2022-08-02	 4.233	🌒	Luna creciente
2022-08-03	 5.167	🌒	Luna creciente
2022-08-04	 6.100	🌒	Luna creciente
2022-08-05	 7.033	🌓	Cuarto creciente
2022-08-06	 8.045	🌔	Luna creciente gibosa
2022-08-07	 9.056	🌔	Luna creciente gibosa
2022-08-08	10.145	🌔	Luna creciente gibosa
2022-08-09	11.156	🌔	Luna creciente gibosa
2022-08-10	12.245	🌔	Luna creciente gibosa
2022-08-11	13.333	🌔	Luna creciente gibosa
2022-08-12	14.422	🌕	Luna llena
2022-08-13	15.511	🌖	Luna menguante gibosa
2022-08-14	16.522	🌖	Luna menguante gibosa
2022-08-15	17.533	🌖	Luna menguante gibosa
2022-08-16	18.545	🌖	Luna menguante gibosa
2022-08-17	19.556	🌖	Luna menguante gibosa
2022-08-18	20.489	🌖	Luna menguante gibosa
2022-08-19	21.345	🌗	Cuarto menguante
2022-08-20	22.200	🌘	Luna menguante
2022-08-21	23.056	🌘	Luna menguante
2022-08-22	23.911	🌘	Luna menguante
2022-08-23	24.767	🌘	Luna menguante
2022-08-24	25.622	🌘	Luna menguante
2022-08-25	26.478	🌘	Luna menguante
2022-08-26	27.333	🌘	Luna menguante
2022-08-27	 0.189	🌑	Luna nueva
2022-08-28	 1.045	🌒	Luna creciente
2022-08-29	 1.978	🌒	Luna creciente
2022-08-30	 2.911	🌒	Luna creciente
2022-08-31	 3.845	🌒	Luna creciente
2022-09-01	 4.778	🌒	Luna creciente
2022-09-02	 5.789	🌒	Luna creciente
2022-09-03	 6.800	🌒	Luna creciente
2022-09-04	 7.811	🌓	Cuarto creciente
2022-09-05	 8.822	🌔	Luna creciente gibosa
2022-09-06	 9.833	🌔	Luna creciente gibosa
2022-09-07	10.845	🌔	Luna creciente gibosa
2022-09-08	11.933	🌔	Luna creciente gibosa
2022-09-09	13.022	🌔	Luna creciente gibosa
2022-09-10	14.033	🌕	Luna llena
2022-09-11	15.045	🌖	Luna menguante gibosa
2022-09-12	16.056	🌖	Luna menguante gibosa
2022-09-13	17.067	🌖	Luna menguante gibosa
2022-09-14	18.078	🌖	Luna menguante gibosa
2022-09-15	19.011	🌖	Luna menguante gibosa
2022-09-16	19.867	🌖	Luna menguante gibosa
2022-09-17	20.722	🌖	Luna menguante gibosa
2022-09-18	21.578	🌗	Cuarto menguante
2022-09-19	22.433	🌘	Luna menguante
2022-09-20	23.289	🌘	Luna menguante
2022-09-21	24.145	🌘	Luna menguante
2022-09-22	25.000	🌘	Luna menguante
2022-09-23	25.856	🌘	Luna menguante
2022-09-24	26.711	🌘	Luna menguante
2022-09-25	27.645	🌘	Luna menguante
2022-09-26	 0.578	🌑	Luna nueva
2022-09-27	 1.511	🌒	Luna creciente
2022-09-28	 2.522	🌒	Luna creciente
2022-09-29	 3.456	🌒	Luna creciente
2022-09-30	 4.467	🌒	Luna creciente
2022-10-01	 5.478	🌒	Luna creciente
2022-10-02	 6.489	🌒	Luna creciente
2022-10-03	 7.500	🌓	Cuarto creciente
2022-10-04	 8.511	🌔	Luna creciente gibosa
2022-10-05	 9.522	🌔	Luna creciente gibosa
2022-10-06	10.611	🌔	Luna creciente gibosa
2022-10-07	11.622	🌔	Luna creciente gibosa
2022-10-08	12.633	🌔	Luna creciente gibosa
2022-10-09	13.645	🌔	Luna creciente gibosa
2022-10-10	14.578	🌕	Luna llena
2022-10-11	15.589	🌖	Luna menguante gibosa
2022-10-12	16.522	🌖	Luna menguante gibosa
2022-10-13	17.456	🌖	Luna menguante gibosa
2022-10-14	18.311	🌖	Luna menguante gibosa
2022-10-15	19.245	🌖	Luna menguante gibosa
2022-10-16	20.100	🌖	Luna menguante gibosa
2022-10-17	20.878	🌖	Luna menguante gibosa
2022-10-18	21.733	🌗	Cuarto menguante
2022-10-19	22.589	🌘	Luna menguante
2022-10-20	23.445	🌘	Luna menguante
2022-10-21	24.300	🌘	Luna menguante
2022-10-22	25.156	🌘	Luna menguante
2022-10-23	26.089	🌘	Luna menguante
2022-10-24	27.100	🌘	Luna menguante
2022-10-25	 0.033	🌑	Luna nueva
2022-10-26	 1.045	🌒	Luna creciente
2022-10-27	 2.056	🌒	Luna creciente
2022-10-28	 3.067	🌒	Luna creciente
2022-10-29	 4.156	🌒	Luna creciente
2022-10-30	 5.167	🌒	Luna creciente
2022-10-31	 6.178	🌒	Luna creciente
2022-11-01	 7.189	🌓	Cuarto creciente
2022-11-02	 8.200	🌔	Luna creciente gibosa
2022-11-03	 9.211	🌔	Luna creciente gibosa
2022-11-04	10.222	🌔	Luna creciente gibosa
2022-11-05	11.233	🌔	Luna creciente gibosa
2022-11-06	12.167	🌔	Luna creciente gibosa
2022-11-07	13.100	🌔	Luna creciente gibosa
2022-11-08	14.111	🌕	Luna llena
2022-11-09	14.967	🌖	Luna menguante gibosa
2022-11-10	15.900	🌖	Luna menguante gibosa
2022-11-11	16.756	🌖	Luna menguante gibosa
2022-11-12	17.611	🌖	Luna menguante gibosa
2022-11-13	18.467	🌖	Luna menguante gibosa
2022-11-14	19.322	🌖	Luna menguante gibosa
2022-11-15	20.178	🌖	Luna menguante gibosa
2022-11-16	21.033	🌗	Cuarto menguante
2022-11-17	21.889	🌘	Luna menguante
2022-11-18	22.745	🌘	Luna menguante
2022-11-19	23.600	🌘	Luna menguante
2022-11-20	24.533	🌘	Luna menguante
2022-11-21	25.467	🌘	Luna menguante
2022-11-22	26.478	🌘	Luna menguante
2022-11-23	27.489	🌘	Luna menguante
2022-11-24	 0.578	🌑	Luna nueva
2022-11-25	 1.589	🌒	Luna creciente
2022-11-26	 2.678	🌒	Luna creciente
2022-11-27	 3.767	🌒	Luna creciente
2022-11-28	 4.778	🌒	Luna creciente
2022-11-29	 5.867	🌒	Luna creciente
2022-11-30	 6.878	🌒	Luna creciente
2022-12-01	 7.889	🌓	Cuarto creciente
2022-12-02	 8.822	🌔	Luna creciente gibosa
2022-12-03	 9.833	🌔	Luna creciente gibosa
2022-12-04	10.767	🌔	Luna creciente gibosa
2022-12-05	11.700	🌔	Luna creciente gibosa
2022-12-06	12.556	🌔	Luna creciente gibosa
2022-12-07	13.489	🌔	Luna creciente gibosa
2022-12-08	14.345	🌕	Luna llena
2022-12-09	15.200	🌖	Luna menguante gibosa
2022-12-10	16.056	🌖	Luna menguante gibosa
2022-12-11	16.911	🌖	Luna menguante gibosa
2022-12-12	17.767	🌖	Luna menguante gibosa
2022-12-13	18.622	🌖	Luna menguante gibosa
2022-12-14	19.400	🌖	Luna menguante gibosa
2022-12-15	20.256	🌖	Luna menguante gibosa
2022-12-16	21.111	🌗	Cuarto menguante
2022-12-17	22.045	🌘	Luna menguante
2022-12-18	22.978	🌘	Luna menguante
2022-12-19	23.911	🌘	Luna menguante
2022-12-20	24.922	🌘	Luna menguante
2022-12-21	25.933	🌘	Luna menguante
2022-12-22	26.945	🌘	Luna menguante
2022-12-23	 0.033	🌑	Luna nueva
2022-12-24	 1.122	🌒	Luna creciente
2022-12-25	 2.211	🌒	Luna creciente
2022-12-26	 3.300	🌒	Luna creciente
2022-12-27	 4.389	🌒	Luna creciente
2022-12-28	 5.400	🌒	Luna creciente
2022-12-29	 6.411	🌒	Luna creciente
2022-12-30	 7.422	🌓	Cuarto creciente
2022-12-31	 8.356	🌔	Luna creciente gibosa
2023-01-01	 9.289	🌔	Luna creciente gibosa
2023-01-02	10.222	🌔	Luna creciente gibosa
2023-01-03	11.078	🌔	Luna creciente gibosa
2023-01-04	12.011	🌔	Luna creciente gibosa
2023-01-05	12.867	🌔	Luna creciente gibosa
2023-01-06	13.722	🌔	Luna creciente gibosa
2023-01-07	14.578	🌕	Luna llena
2023-01-08	15.356	🌖	Luna menguante gibosa
2023-01-09	16.211	🌖	Luna menguante gibosa
2023-01-10	17.067	🌖	Luna menguante gibosa
2023-01-11	17.922	🌖	Luna menguante gibosa
2023-01-12	18.778	🌖	Luna menguante gibosa
2023-01-13	19.633	🌖	Luna menguante gibosa
2023-01-14	20.489	🌖	Luna menguante gibosa
2023-01-15	21.422	🌗	Cuarto menguante
2023-01-16	22.356	🌘	Luna menguante
2023-01-17	23.367	🌘	Luna menguante
2023-01-18	24.378	🌘	Luna menguante
2023-01-19	25.389	🌘	Luna menguante
2023-01-20	26.478	🌘	Luna menguante
2023-01-21	27.567	🌘	Luna menguante
2023-01-22	 0.656	🌑	Luna nueva
2023-01-23	 1.745	🌒	Luna creciente
2023-01-24	 2.833	🌒	Luna creciente
2023-01-25	 3.922	🌒	Luna creciente
2023-01-26	 4.933	🌒	Luna creciente
2023-01-27	 5.945	🌒	Luna creciente
2023-01-28	 6.878	🌒	Luna creciente
2023-01-29	 7.811	🌓	Cuarto creciente
2023-01-30	 8.745	🌔	Luna creciente gibosa
2023-01-31	 9.600	🌔	Luna creciente gibosa
2023-02-01	10.456	🌔	Luna creciente gibosa
2023-02-02	11.311	🌔	Luna creciente gibosa
2023-02-03	12.167	🌔	Luna creciente gibosa
2023-02-04	13.022	🌔	Luna creciente gibosa
