# Tag       	# Phase	#2023-09-07	21.578	🌗	Letztes Viertel
2023-09-15	 0.422	🌑	Neumond
2023-09-23	 7.656	🌓	Erstes Viertel
2023-10-07	21.889	🌗	Letztes Viertel
2023-10-15	 0.656	🌑	Neumond
2023-10-22	 7.345	🌓	Erstes Viertel
2023-10-29	14.578	🌕	Vollmond
2023-11-05	21.189	🌗	Letztes Viertel
2023-11-13	 0.111	🌑	Neumond
2023-11-20	 7.033	🌓	Erstes Viertel
2023-11-27	14.111	🌕	Vollmond
2023-12-05	21.267	🌗	Letztes Viertel
2023-12-13	 0.500	🌑	Neumond
2023-12-20	 7.656	🌓	Erstes Viertel
2023-12-27	14.422	🌕	Vollmond
2024-01-04	21.345	🌗	Letztes Viertel
2024-01-12	 0.967	🌑	Neumond
2024-01-18	 7.267	🌓	Erstes Viertel
2024-01-26	14.656	🌕	Vollmond
2024-02-03	21.500	🌗	Letztes Viertel
2024-02-10	 0.500	🌑	Neumond
2024-02-17	 7.811	🌓	Erstes Viertel
2024-02-24	14.033	🌕	Vollmond
2024-03-04	21.811	🌗	Letztes Viertel
2024-03-10	 0.033	🌑	Neumond
2024-03-17	 7.345	🌓	Erstes Viertel
2024-03-25	14.189	🌕	Vollmond
2024-04-02	21.345	🌗	Letztes Viertel
2024-04-09	 0.733	🌑	Neumond
2024-04-16	 7.656	🌓	Erstes Viertel
2024-04-24	14.422	🌕	Vollmond
2024-05-02	21.967	🌗	Letztes Viertel
2024-05-08	 0.345	🌑	Neumond
2024-05-15	 7.033	🌓	Erstes Viertel
2024-05-24	14.889	🌕	Vollmond
2024-05-31	21.733	🌗	Letztes Viertel
2024-06-07	 0.967	🌑	Neumond
2024-06-14	 7.267	🌓	Erstes Viertel
2024-06-22	14.422	🌕	Vollmond
2024-06-29	21.578	🌗	Letztes Viertel
2024-07-06	 0.500	🌑	Neumond
2024-07-14	 7.500	🌓	Erstes Viertel
2024-07-21	14.033	🌕	Vollmond
2024-07-28	21.345	🌗	Letztes Viertel
2024-08-04	 0.033	🌑	Neumond
2024-08-13	 7.733	🌓	Erstes Viertel
2024-08-20	14.733	🌕	Vollmond
2024-08-26	21.033	🌗	Letztes Viertel
2024-09-03	 0.422	🌑	Neumond
2024-09-11	 7.189	🌓	Erstes Viertel
2024-09-18	14.345	🌕	Vollmond
2024-09-25	21.656	🌗	Letztes Viertel
2024-10-03	 0.656	🌑	Neumond
2024-10-11	 7.656	🌓	Erstes Viertel
2024-10-24	21.189	🌗	Letztes Viertel
2024-11-01	 0.033	🌑	Neumond
2024-11-09	 7.267	🌓	Erstes Viertel
2024-11-16	14.578	🌕	Vollmond
2024-11-23	21.422	🌗	Letztes Viertel
2024-12-01	 0.189	🌑	Neumond
2024-12-09	 7.811	🌓	Erstes Viertel
2024-12-15	14.033	🌕	Vollmond
2024-12-23	21.500	🌗	Letztes Viertel
2024-12-31	 0.500	🌑	Neumond
2025-01-07	 7.500	🌓	Erstes Viertel
2025-01-14	14.500	🌕	Vollmond
2025-01-22	21.578	🌗	Letztes Viertel
2025-01-30	 0.967	🌑	Neumond
2025-02-05	 7.111	🌓	Erstes Viertel
2025-02-13	14.811	🌕	Vollmond
2025-02-21	21.656	🌗	Letztes Viertel
2025-02-28	 0.422	🌑	Neumond
2025-03-07	 7.733	🌓	Erstes Viertel
2025-03-14	14.189	🌕	Vollmond
2025-03-22	21.033	🌗	Letztes Viertel
2025-04-05	 7.345	🌓	Erstes Viertel
2025-04-13	14.422	🌕	Vollmond
2025-04-21	21.345	🌗	Letztes Viertel
